question_id,actual_answer,human_answer,model_prediction,explainability_combination
1,Dummy_actual_ans,1,Dummy_model_ans,image
2,Dummy_actual_ans,1,Dummy_model_ans,image
3,Dummy_actual_ans,1,Dummy_model_ans,text
4,Dummy_actual_ans,1,Dummy_model_ans,image
5,Dummy_actual_ans,1,Dummy_model_ans,image
6,Dummy_actual_ans,1,Dummy_model_ans,both
7,Dummy_actual_ans,1,Dummy_model_ans,text
8,Dummy_actual_ans,1,Dummy_model_ans,both
9,Dummy_actual_ans,1,Dummy_model_ans,both
10,Dummy_actual_ans,1,Dummy_model_ans,image
11,Dummy_actual_ans,1,Dummy_model_ans,image
12,Dummy_actual_ans,1,Dummy_model_ans,both
13,Dummy_actual_ans,1,Dummy_model_ans,text
14,Dummy_actual_ans,1,Dummy_model_ans,image
15,Dummy_actual_ans,1,Dummy_model_ans,image
16,Dummy_actual_ans,1,Dummy_model_ans,text
17,Dummy_actual_ans,1,Dummy_model_ans,text
18,Dummy_actual_ans,1,Dummy_model_ans,both
19,Dummy_actual_ans,1,Dummy_model_ans,both
20,Dummy_actual_ans,1,Dummy_model_ans,text
